Reference, Quantity, Value, Footprint, Datasheet, Value1, Value2, digikey
IC107 IC108 ,2,"IC_NCP1117LPST33","rklib:SOT223","","NCP1117LPST33","LDO","NCP1117LPST33T3GOSCT-ND"
IC101 IC109 ,2,"IC_PCA9545APW","Housings_SSOP:TSSOP-20_4.4x6.5mm_Pitch0.65mm","","PCA9545APW","I2C Switch 4ch","568-1865-1-ND"
IC201 ,1,"IC_NC7WZ07","TO_SOT_Packages_SMD:SC-70-6","","NC7WZ07","Noninverting Buffer","NC7WZ07P6XCT-ND"
IC202 ,1,"IC_XE216-512-TQ128","rklib:TQFP-128_14x14mm_Pitch0.4mm_EP_Handsoldering","","XE216-512-TQ128","xCore","880-1096-ND"
IC203 ,1,"IC_NCP4681DSQ25T1G","TO_SOT_Packages_SMD:SC-70-5","","NCP4681DSQ25T1G","2,5V 150mA","NCP4681DSQ25T1GOSCT-ND"
IC204 ,1,"IC_IS25LP080D","rklib:SOIC8_3.9x4.9mm_Pitch1.27mm","","IS25LP080D","8Mb","706-1580-ND"
IC701 ,1,"IC_ADAU1452","rklib:QFP72_10x10_EP_Handsoldering","","ADAU1452","-","ADAU1452WBCPZ-ND"
IC702 ,1,"IC_25AA1024","Housings_SOIC:SOIJ-8_5.3x5.3mm_Pitch1.27mm","","25AA1024","1Mbit","25AA1024T-I/SMCT-ND"
JP701 ,1,"CON_JUMPER","rklib:HDR_01x02","","Jumper"," -","732-5315-ND"
L101 ,1,"IND_2U20_30%_4A5","rklib:MCSDRH73B","","2u20","30% 4.5A 26 mOhm","811-1157-1-ND"
OSC101 ,1,"OSC_24M576","rklib:ASFL1","","24M576","-","300-8253-1-ND"
OSC201 ,1,"OSC_24M0","rklib:ASFL1","","24M0","-","300-8252-1-ND"
Q701 ,1,"Q_STD2805","TO_SOT_Packages_SMD:TO-252-2Lead","","STD2805","PNP 60V 5A 150MHz 15W ","497-7465-1-ND"
R101 R102 R103 R104 R109 R110 R111 R112 R141 R142 R143 R144 R149 R150 R151 R152 R213 R214 ,18,"RES_2K00_1%_0.125W_Thick_0805","rklib:C0805-RES","","2K00","1% 0.125W Thick","311-2.00KCRCT-ND"
R105 R106 R107 R108 R145 R146 R147 R148 R153 R154 R155 R156 ,12,"RES_47K0_1%_0.125W_Thick_0805","rklib:C0805-RES","","47K0","1% 0.125W Thick","311-47.0KCRCT-ND"
R113 R201 R204 R205 R708 R709 R712 ,7,"RES_10K0_1%_0.125W_Thick_0805","rklib:C0805-RES","","10K0","1% 0.125W Thick","311-10.0KCRCT-ND"
R116 ,1,"RES_4K70_1%_0.125W_Thick_0805","rklib:C0805-RES","","4K70","1% 0.125W Thick","311-4.70KCRCT-ND"
R117 R118 R119 R121 R122 R123 R124 R125 R127 R129 R131 R132 R134 R135 R136 R206 ,16,"RES_51R0_5%_4x0603","Resistors_SMD:R_Array_Convex_4x0603","","51R0","5% 62,5mW","TC164J-51CT-ND"
R114 R115 R120 R126 R128 R130 R133 R202 R207 R208 R211 R212 R702 R703 R704 R705 R706 ,17,"RES_51R0_1%_0.125W_Thick_0805","rklib:C0805-RES","","51R0","1% 0.125W Thick","311-51.0CRCT-ND"
R137 R209 R701 ,3,"RES_1K00_1%_0.125W_Thick_0805","rklib:C0805-RES","","1K00","1% 0.125W Thick","311-1.00KCRCT-ND"
R138 ,1,"RES_80K6_1%_0.125W_Thick_0805","rklib:C0805-RES","","80K6","1% 0.125W Thick","311-80.6KCRCT-ND"
R139 R215 ,2,"RES_100K_1%_0.125W_Thick_0805","rklib:C0805-RES","","100K","1% 0.125W Thick","311-100KCRCT-ND"
R140 ,1,"RES_120K_1%_0.125W_Thick_0805","rklib:C0805-RES","","120K","1% 0.125W Thick","311-120KCRCT-ND"
R203 ,1,"RES_4R70_1%_0.125W_Thick_0805","rklib:C0805-RES","","4R70","1% 0.125W Thick","311-4.70CRCT-ND"
R210 ,1,"RES_43R2_1%_0.125W_Thick_0805","rklib:C0805-RES","","43R2","1% 0.125W Thick","P43.2CCT-ND"
R707 ,1,"RES_4K32_1%_0.125W_Thick_0805","rklib:C0805-RES","","4K32","1% 0.125W Thick","311-4.32KCRCT-ND"
R710 R711 ,2,"DNP","rklib:C0805-RES","","DNP","-","-"
R713 R714 ,2,"RES_0R00_1%_0.125W_Thick_0805","rklib:C0805-RES","","0R00","1% 0.125W Thick","311-0.0ARCT-ND"
X101 ,1,"CON_HDR_02x04","rklib:HDR_02x04","","HDR-02x04","-","952-3276-ND"
X102 X103 ,2,"CON_IDC64","rklib:IDC64","","IDC64","-","ED10532-ND"
X104 ,1,"CON_MicroMatch-10G","rklib:MM-10G","","MicroMatch-10"," -","A110869-ND"
X105 ,1,"CON_MicroFit3_02x02","rklib:Microfit3_43045-0428","","MicroFit3 02x02","-","WM10670-ND"
X201 ,1,"CON_USB_B","rklib:USB_B","","USB_B","horizontal","ED2983-ND"
X202 ,1,"CON_HDR_01x04","rklib:HDR_01x04","","HDR-01x04","-","732-5317-ND"
X203 ,1,"CON_HDR_02x10","rklib:HDR_02x10","","HDR-02x10","-","S2011EC-10-ND"
X701 ,1,"CON_HDR_02x05","rklib:HDR_02x05","","HDR-02x05","-","952-2117-ND"
